,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,Date,Ticker,Return
1847,-10.361713,-10.409641,-11.0547285,-11.054986,-10.162347,-10.299386,-10.698896,-11.041245,-9.422321,-9.131466,2023-05-19,AAPL,0.00062819454
1848,-10.316108,-10.281061,-11.128565,-10.902669,-10.517165,-10.61056,-11.430325,-11.030077,-9.289551,-9.867631,2023-05-22,AAPL,-0.0054957774
1849,-10.323934,-10.299817,-11.029527,-11.004782,-10.6498785,-10.821177,-11.324193,-11.362211,-8.685269,-9.928807,2023-05-23,AAPL,-0.015271005
1850,-10.378655,-10.357252,-11.279351,-10.900008,-10.736844,-10.657021,-11.788828,-11.166457,-8.874391,-10.352573,2023-05-24,AAPL,0.0016307516
1851,-10.228212,-10.373176,-10.782216,-11.083036,-10.292946,-10.604996,-10.755409,-11.286462,-8.554699,-8.960688,2023-05-25,AAPL,0.006669978
1852,-10.022852,-10.148713,-10.674211,-10.759606,-10.214176,-10.140527,-10.849144,-10.969091,-8.143954,-9.34144,2023-05-26,AAPL,0.014006314
1853,-10.40438,-10.462606,-10.914217,-11.322146,-10.722109,-10.892151,-11.030905,-12.047595,-9.222876,-9.026953,2023-05-30,AAPL,0.01060311
1854,-9.949148,-9.884101,-10.616983,-10.668259,-9.704892,-9.8167305,-10.351033,-10.447361,-8.357372,-7.436218,2023-05-31,AAPL,-0.00028204767
1855,-9.629351,-9.822214,-10.596982,-10.107355,-9.509673,-10.10558,-10.588837,-9.925004,-5.815221,-6.1175885,2023-06-01,AAPL,0.01589556
1856,-10.092945,-10.194056,-10.749167,-10.824428,-10.456839,-10.42476,-10.853612,-11.573052,-8.209294,-9.723206,2023-06-02,AAPL,0.004764024
1857,-10.1847315,-10.206123,-10.983441,-10.782398,-9.889119,-9.79722,-10.972501,-10.302284,-8.067756,-7.7451234,2023-06-05,AAPL,-0.0075999587
1858,-8.731054,-8.79414,-9.650231,-9.23996,-8.335761,-8.620361,-9.945225,-8.558898,-5.294742,-4.055698,2023-06-06,AAPL,-0.0020624886
