,feat_0,feat_1,Date,Symbol,Return
3287,-8.62461,-8.5700865,2018-03-08,AAPL,0.0108533045
3288,-8.732467,-8.729394,2018-03-09,AAPL,0.017035041
3289,-8.993092,-8.909098,2018-03-12,AAPL,0.009621307
3290,-8.7484045,-8.828282,2018-03-13,AAPL,-0.009676871
3291,-8.569903,-8.656924,2018-03-14,AAPL,-0.00853776
3292,-8.553053,-8.649487,2018-03-15,AAPL,0.0011761741
3293,-8.745307,-8.776908,2018-03-16,AAPL,-0.003532681
3294,-8.998071,-8.89549,2018-03-19,AAPL,-0.015397112
3295,-8.488969,-8.679502,2018-03-20,AAPL,-0.00034232897
3296,-8.583578,-8.694436,2018-03-21,AAPL,-0.022915205
3297,-8.370372,-8.545359,2018-03-22,AAPL,-0.014230512
3298,-8.167598,-8.318969,2018-03-23,AAPL,-0.023428975
3299,-7.9386415,-7.922629,2018-03-26,AAPL,0.04637946
3300,-8.367229,-8.137089,2018-03-27,AAPL,-0.025975486
3301,-7.9809117,-7.890788,2018-03-28,AAPL,-0.011110562
3302,-7.915165,-7.843416,2018-03-29,AAPL,0.0077784155
3303,-8.271688,-7.9749246,2018-04-02,AAPL,-0.0065777907
3304,-7.708338,-7.800189,2018-04-03,AAPL,0.010206911
3305,-8.003454,-7.919455,2018-04-04,AAPL,0.018941743
3306,-8.269641,-8.07686,2018-04-05,AAPL,0.006910396
3307,-8.414396,-8.148688,2018-04-06,AAPL,-0.025911527
3308,-8.066309,-7.903988,2018-04-09,AAPL,0.009869182
3309,-8.133188,-7.951692,2018-04-10,AAPL,0.018643126
3310,-8.3382635,-8.076218,2018-04-11,AAPL,-0.004686288
3311,-8.363266,-8.045301,2018-04-12,AAPL,0.009810223
3312,-8.629503,-8.171791,2018-04-13,AAPL,0.003382352
3313,-8.809738,-8.233911,2018-04-16,AAPL,0.006218819
3314,-8.767294,-8.301058,2018-04-17,AAPL,0.013670213
3315,-8.901958,-8.3403015,2018-04-18,AAPL,-0.0022466872
3316,-8.566613,-8.298182,2018-04-19,AAPL,-0.028749414
3317,-8.0412245,-8.074218,2018-04-20,AAPL,-0.04183524
3318,-7.6057806,-7.8025556,2018-04-23,AAPL,-0.0029006547
3319,-7.4248886,-8.138046,2018-04-24,AAPL,-0.014016927
3320,-7.2532234,-8.090632,2018-04-25,AAPL,0.004347966
3321,-7.311406,-8.141662,2018-04-26,AAPL,0.0034769913
3322,-7.416239,-8.201848,2018-04-27,AAPL,-0.0116372965
3323,-7.3780746,-8.176443,2018-04-30,AAPL,0.017950296
3324,-7.3337607,-8.222038,2018-05-01,AAPL,0.022970265
3325,-7.408292,-8.244998,2018-05-02,AAPL,0.043227144
3326,-8.748304,-8.875356,2018-05-03,AAPL,0.0018106721
3327,-8.672075,-8.790956,2018-05-04,AAPL,0.038483348
3328,-8.730484,-8.818522,2018-05-07,AAPL,0.0072088987
3329,-8.514072,-8.714295,2018-05-08,AAPL,0.0047951387
3330,-8.644923,-8.766789,2018-05-09,AAPL,0.007016445
3331,-8.715082,-8.783309,2018-05-10,AAPL,0.014202677
3332,-8.680178,-8.801506,2018-05-11,AAPL,-0.0037958713
3333,-8.998184,-8.961805,2018-05-14,AAPL,-0.0023358294
3334,-8.975537,-9.001926,2018-05-15,AAPL,-0.009130046
3335,-8.88604,-8.964477,2018-05-16,AAPL,0.00928948
3336,-9.009433,-9.006359,2018-05-17,AAPL,-0.006343812
3337,-9.014567,-9.030395,2018-05-18,AAPL,-0.0036431865
3338,-9.151435,-9.0103445,2018-05-21,AAPL,0.0070599853
3339,-9.180764,-9.035814,2018-05-22,AAPL,-0.0025080724
3340,-9.230028,-9.055189,2018-05-23,AAPL,0.0063911593
3341,-9.338926,-9.09582,2018-05-24,AAPL,-0.0011155084
3342,-9.188102,-9.055889,2018-05-25,AAPL,0.002282803
3343,-9.392851,-9.123736,2018-05-29,AAPL,-0.0036124135
3344,-8.91246,-8.967487,2018-05-30,AAPL,-0.002131061
3345,-9.013767,-8.995466,2018-05-31,AAPL,-0.0033656575
3346,-8.984182,-8.980248,2018-06-01,AAPL,0.017873244
3347,-9.044608,-9.068055,2018-06-04,AAPL,0.00832313
3348,-8.975313,-9.045768,2018-06-05,AAPL,0.0076855547
3349,-9.016739,-9.0553055,2018-06-06,AAPL,0.003459943
3350,-9.013882,-9.074165,2018-06-07,AAPL,-0.0026842882
3351,-9.030279,-9.061261,2018-06-08,AAPL,-0.009139122
3352,-9.001359,-8.998751,2018-06-11,AAPL,-0.002454758
3353,-8.927607,-9.032814,2018-06-12,AAPL,0.005475751
3354,-8.992074,-9.064186,2018-06-13,AAPL,-0.008251131
3355,-8.987336,-9.04809,2018-06-14,AAPL,0.0005242464
3356,-9.080059,-9.0896435,2018-06-15,AAPL,-0.010325664
3357,-9.008977,-9.026254,2018-06-18,AAPL,-0.0005296891
3358,-8.972962,-9.053208,2018-06-19,AAPL,-0.01629179
3359,-8.771033,-8.899692,2018-06-20,AAPL,0.0043526227
3360,-8.907581,-8.947392,2018-06-21,AAPL,-0.0055920137
3361,-8.758932,-8.404857,2018-06-22,AAPL,-0.0029159263
3362,-9.115068,-8.452845,2018-06-25,AAPL,-0.014982983
3363,-8.742014,-8.320018,2018-06-26,AAPL,0.012329671
3364,-8.902283,-8.358898,2018-06-27,AAPL,-0.0014650427
3365,-8.62762,-8.248266,2018-06-28,AAPL,0.007249937
3366,-8.88529,-8.326243,2018-06-29,AAPL,-0.002104639
3367,-8.99377,-8.361699,2018-07-02,AAPL,0.011120478
3368,-8.971955,-8.357171,2018-07-03,AAPL,-0.01756984
3369,-8.611773,-8.249357,2018-07-05,AAPL,0.008014773
3370,-8.773158,-8.314536,2018-07-06,AAPL,0.013766723
3371,-9.102972,-8.421857,2018-07-09,AAPL,0.013789678
3372,-8.931109,-8.458719,2018-07-10,AAPL,-0.0012075711
3373,-9.039049,-8.506171,2018-07-11,AAPL,-0.013061021
3374,-8.942759,-8.421263,2018-07-12,AAPL,0.016627023
3375,-9.080413,-8.5025425,2018-07-13,AAPL,0.0015692022
3376,-9.266363,-8.551965,2018-07-16,AAPL,-0.0021975732
3377,-9.095345,-8.488355,2018-07-17,AAPL,0.0028245652
3378,-9.18698,-8.5081215,2018-07-18,AAPL,-0.0054995557
3379,-8.774677,-8.463743,2018-07-19,AAPL,0.007743054
3380,-8.528444,-8.396704,2018-07-20,AAPL,-0.002295733
3381,-8.380997,-8.453534,2018-07-23,AAPL,0.00088761264
3382,-7.943517,-8.734353,2018-07-24,AAPL,0.007228133
3383,-7.917474,-8.769213,2018-07-25,AAPL,0.009385866
3384,-8.011601,-8.841439,2018-07-26,AAPL,-0.0031360076
3385,-7.912398,-8.738329,2018-07-27,AAPL,-0.016771337
3386,-7.7871594,-8.579806,2018-07-30,AAPL,-0.005618435
3387,-7.619496,-8.4664345,2018-07-31,AAPL,0.0019989486
3388,-7.37088,-8.380164,2018-08-01,AAPL,0.05724016
3389,-8.798222,-8.952924,2018-08-02,AAPL,0.028811697
3390,-8.901958,-8.937805,2018-08-03,AAPL,0.002888923
3391,-9.103331,-8.985759,2018-08-06,AAPL,0.0051791226
3392,-9.169128,-9.098202,2018-08-07,AAPL,-0.0094190715
3393,-9.194091,-9.084195,2018-08-08,AAPL,0.00067574094
3394,-9.269606,-9.102972,2018-08-09,AAPL,0.00783413
3395,-9.215576,-9.09844,2018-08-10,AAPL,-0.0029726252
